SKU,CPUFrequency,Cores,Sockets,Turbo,BinaryType,DIMMFreq,PeakMemBW,CPI,INSTRUCTIONS_RETIRED,HighMembwUtil_Elapsed,MemBW(GBps),DRAM B/w Bound,Memory Bandwidth Bound,L3Bound,Frequency(MHz),Flops,Performance
8280M,1000,56,2,1000,avx512,2666,223.96,0.836,2.00926E+14,,128.152,56.2,,1.6,997.691,177.557,3.84
8280M,1200,56,2,1200,avx512,2666,223.96,0,0,,0,0,,0,0,0,3.58
8280M,1400,56,2,1400,avx512,2666,223.96,0.977,2.07723E+14,,146.775,66.7,,2,1397,204.27,3.39
8280M,1600,56,2,1600,avx512,2666,223.96,0,0,,0,0,,0,0,0,3.25
8280M,1800,56,2,1800,avx512,2666,223.96,1.149,2.10068E+14,,158.676,73.7,,2.3,1796,222.157,3.15
8280M,2000,56,2,2000,avx512,2666,223.96,0,0,,0,0,,0,0,0,3.07
8280M,2200,56,2,2200,avx512,2666,223.96,1.309,2.22668E+14,,166.06,77.3,,2.4,2195,230.74,3.01
8280M,2600,56,2,2600,avx512,2666,223.96,1.373,2.29663E+14,,169.283,78.7,,2.5,2451,235.983,2.96
8280M,2700,56,2,2700,avx512,2666,223.96,1.335,2.35901E+14,,169.399,78.8,,2.5,2478,235.958,2.96
8280M,2701,56,2,4000,avx512,2666,223.96,1.255,2.52003E+14,,168.766,78.9,,2.3,2606,234.99,2.97
8280M,1000,28,2,1000,avx512,2933,274.96,0.761,1.61E+14,46.8,85.292,23.5,28.8,1.8,997.65,117.702,5.878413
8280M,1000,36,2,1000,avx512,2933,274.96,0.774,1.64E+14,56.6,104.823,32.9,29.5,1.5,997.634,141.991,4.73767
8280M,1000,44,2,1000,avx512,2933,274.96,0.83,1.74E+14,62.8,120.406,39.5,32.1,1.8,997.638,164.949,4.364681
8280M,1000,52,2,1000,avx512,2933,274.96,0.868,1.80E+14,69.8,134.599,50.3,34.1,2,997.649,183.089,4.011725
8280M,1000,56,2,1000,avx512,2933,274.96,0.853,1.99E+14,62.6,126.801,50.5,31.1,1.6,997.667,175.322,3.769801
8280M,1200,28,2,1200,avx512,,274.96,,,,,,,,,,
8280M,1200,36,2,1200,avx512,,274.96,,,,,,,,,,
8280M,1200,44,2,1200,avx512,,274.96,,,,,,,,,,
8280M,1200,52,2,1200,avx512,,274.96,,,,,,,,,,
8280M,1200,56,2,1200,avx512,,274.96,,,0,0,0,,,0,0,3.465736
8280M,1400,28,2,1400,avx512,2933,274.96,0.854,1.61E+14,59.6,105.438,34.2,34.3,1.8,1397,146.16,4.735756
8280M,1400,36,2,1400,avx512,2933,274.96,0.881,1.66E+14,66.5,126.864,45.2,35.6,1.5,1397,173.363,3.913177
8280M,1400,44,2,1400,avx512,2933,274.96,0.965,1.76E+14,72.8,142.29,56.7,38.4,1.8,1397,196.287,3.682996
8280M,1400,52,2,1400,avx512,2933,274.96,1.034,1.83E+14,80.3,156.211,64.8,40.5,2.2,1397,214.085,3.462001
8280M,1400,56,2,1400,avx512,2933,274.96,0.997,2.04E+14,69.2,145.243,61.3,37.1,1.9,1397,202.178,3.267244
8280M,1600,28,2,1600,avx512,,274.96,,,,,,,,,,
8280M,1600,36,2,1600,avx512,,274.96,,,,,,,,,,
8280M,1600,44,2,1600,avx512,,274.96,,,,,,,,,,
8280M,1600,52,2,1600,avx512,,274.96,,,,,,,,,,
8280M,1600,56,2,1600,avx512,,274.96,,,0,0,0,,,0,0,3.12546
8280M,1800,28,2,1800,avx512,2933,274.96,0.954,1.63E+14,66.4,119.376,42.3,38.5,1.9,1796,166.476,4.161609
8280M,1800,36,2,1800,avx512,2933,274.96,0.995,1.69E+14,72.2,141.651,58.2,40,1.5,1796,193.947,3.493473
8280M,1800,44,2,1800,avx512,2933,274.96,1.102,1.80E+14,79.8,157.052,67,42.7,1.9,1796,216.953,3.354022
8280M,1800,52,2,1800,avx512,2933,274.96,1.179,1.89E+14,86.2,169.804,73.8,44.4,2.4,1796,232.675,3.201434
8280M,1800,56,2,1800,avx512,2933,274.96,1.16,2.11E+14,75.8,157.047,68.2,40.8,2.2,1796,217.983,3.020621
8280M,2000,28,2,2000,avx512,,274.96,,,,,,,,,,
8280M,2000,36,2,2000,avx512,,274.96,,,,,,,,,,
8280M,2000,44,2,2000,avx512,,274.96,,,,,,,,,,
8280M,2000,52,2,2000,avx512,,274.96,,,,,,,,,,
8280M,2000,56,2,2000,avx512,,274.96,,,0,0,0,,,0,0,2.944483
8280M,2200,28,2,2200,avx512,2933,274.96,1.057,1.64E+14,70.5,130.02,45.8,41.8,1.9,2195,181.944,3.813664
8280M,2200,36,2,2200,avx512,2933,274.96,1.108,1.71E+14,76.2,152.398,63,43.1,1.6,2195,208.997,3.247928
8280M,2200,44,2,2200,avx512,2933,274.96,1.247,1.83E+14,86.6,167.284,72.8,45.8,2,2195,231.388,3.156288
8280M,2200,52,2,2200,avx512,2933,274.96,1.345,1.93E+14,88.5,178.788,78.9,47.3,2.5,2195,243.727,3.048217
8280M,2200,56,2,2200,avx512,2933,274.96,1.292,2.14E+14,80,164.302,72.3,44.2,2.5,2195,229.375,2.879921
8280M,2600,28,2,2600,avx512,2933,274.96,1.169,1.66E+14,73.6,137.844,49.8,44.3,2.1,2593,192.973,3.593397
8280M,2600,36,2,2600,avx512,2933,274.96,1.229,1.74E+14,79.3,159.383,69.8,45.8,1.7,2584,223.795,3.098192
8280M,2600,44,2,2600,avx512,2933,274.96,1.349,1.86E+14,88.2,172.441,76.1,47.3,2.1,2512,232.074,3.062593
8280M,2600,52,2,2600,avx512,2933,274.96,1.354,2.01E+14,89.4,182.455,82.3,47.9,2.6,2436,247.921,2.99434
8280M,2600,56,2,2600,avx512,2933,274.96,1.377,2.24E+14,81.6,167.715,73.6,44.4,2.5,2451,233.966,2.823079
8280M,2700,28,2,2700,avx512,2933,274.96,1.19,1.66E+14,74.1,139.405,50.6,44.8,2.1,2694,195.468,3.459784
8280M,2700,36,2,2700,avx512,2933,274.96,1.222,1.77E+14,79.2,159.479,70.5,45.7,1.7,2694,221.959,3.048591
8280M,2700,44,2,2700,avx512,2933,274.96,1.343,1.89E+14,88.3,172.845,76.3,47,2,2694,236.596,3.040585
8280M,2700,52,2,2700,avx512,2933,274.96,1.41,2.00E+14,89.4,182.702,82,48.2,2.6,2694,249.112,2.987622
8280M,2700,56,2,2700,avx512,2933,274.96,1.368,2.29E+14,81.7,167.598,73.6,43.9,2.5,2481,231.507,2.829134
8280M,2701,28,2,4000,avx512,2933,274.96,2.1,1.83E+14,74.4,141.009,51.2,43.7,2.1,2985,197.229,3.498395
8280M,2701,36,2,4000,avx512,2933,274.96,1.7,1.90E+14,80.4,161.77,71.6,44.6,1.7,2844,220.878,3.06082
8280M,2701,44,2,4000,avx512,2933,274.96,2,2.05E+14,88.5,173.401,76.4,45.6,2,2643,238.053,3.056911
8280M,2701,52,2,4000,avx512,2933,274.96,2.5,2.13E+14,89.7,182.92,82.1,46.7,2.5,2541,250.159,2.993781
8280M,2701,56,2,4000,avx512,2933,274.96,2.6,2.29E+14,87.3,181.031,78.7,45.7,2.6,2563,250.803,2.825602
8280M,2703,56,2,4000,avx512,2933,274.96,1.836,2.28E+14,90.7,193.633,85.3,58.1,3.3,2694,0,3.948348
8280M,2701,28,2,4000,avx2,2933,274.96,1.081,2.16E+14,79.1,152.702,63.9,50.3,1.4,3506,190.679,3.230872
8280M,2701,56,2,4000,avx2,2933,274.96,1.243,2.62E+14,88.4,185.805,80.1,51.8,2.6,2977,185.805,2.670159
8280M,2701,28,2,4000,no-vec,2933,274.96,0.457,8.67E+14,46.6,96.556,25.1,32.4,0.5,3682,96.556,5.256039
8280M,2701,56,2,4000,no-vec,2933,274.96,0.525,9.25E+14,70.2,140.404,49.8,34.5,1,3271,140.404,3.619217
6248,2501,40,2,3900,avx512,2933,274.96,1.182,2.03E+14,0,168.455,73.4,44.4,2.7,2603,219.307,3.202358
6248,2501,20,2,3900,avx512,2933,274.96,1.091,1.72E+14,72.2,119.999,42.4,42.1,2.3,3062,159.159,4.24911
6234,3301,16,2,4000,avx512,2933,274.96,1.196,1.59E+14,68.6,99.771,33.5,41.2,2.3,3198,129.693,4.894266
6242,2801,32,2,3800,avx512,2933,274.96,1.293,1.82E+14,80.1,141.555,62.8,41.2,2.4,2984,180.551,3.633977
8268,2901,48,2,3900,avx512,2933,274.96,1.27,2.18E+14,85.4,175.614,71.6,46.9,2.4,2711,242.236,2.90451
